epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3822,1.07372,0.3627,0.00083,0.83469,0.73329,0.80667,0.52267,0.97295,0.38019,0.00122,0.000411255,0.000411255,0.000411255
2,52.7339,1.08707,0.38027,0.00087,0.90674,0.79433,0.83052,0.54757,0.95184,0.41072,0.0012,0.000819726,0.000819726,0.000819726
3,74.5555,1.17269,0.4048,0.00092,0.88926,0.78754,0.83892,0.52974,1.00782,0.37767,0.00134,0.00121995,0.00121995,0.00121995
4,96.1991,1.16533,0.3951,0.00094,0.95129,0.77297,0.83175,0.56166,0.91511,0.3484,0.00118,0.00121287,0.00121287,0.00121287
5,118.718,1.17159,0.39708,0.00091,0.91391,0.75996,0.8303,0.54174,0.97153,0.35389,0.00124,0.0012005,0.0012005,0.0012005
6,141.018,1.14557,0.3801,0.00092,0.93118,0.79135,0.84631,0.56632,0.95528,0.34825,0.00126,0.00118812,0.00118812,0.00118812
7,163.536,1.11424,0.37049,0.00089,0.87758,0.78347,0.82754,0.56329,0.87863,0.32652,0.0011,0.00117575,0.00117575,0.00117575
8,186.035,1.1231,0.36926,0.00085,0.85184,0.82757,0.81718,0.55649,0.89482,0.33946,0.00114,0.00116337,0.00116337,0.00116337
9,208.51,1.09188,0.35604,0.00088,0.84566,0.82178,0.84313,0.57176,0.92094,0.33709,0.00114,0.001151,0.001151,0.001151
10,231.15,1.07665,0.34411,0.00086,0.94189,0.80913,0.85708,0.57038,0.92014,0.31913,0.00116,0.00113863,0.00113863,0.00113863
11,253.671,1.12972,0.35648,0.0009,0.93118,0.83585,0.84826,0.58656,0.92998,0.31993,0.00115,0.00112625,0.00112625,0.00112625
12,276.288,1.08475,0.33922,0.00086,0.94596,0.81533,0.86042,0.59122,0.9102,0.31373,0.0011,0.00111388,0.00111388,0.00111388
13,298.941,1.10171,0.34948,0.00086,0.93821,0.74204,0.83251,0.55756,0.95444,0.34511,0.00124,0.0011015,0.0011015,0.0011015
14,321.604,1.08069,0.34149,0.00085,0.8931,0.81942,0.84165,0.57345,0.92918,0.32045,0.00116,0.00108913,0.00108913,0.00108913
15,344.271,1.0902,0.34413,0.00088,0.92033,0.81317,0.84466,0.55843,0.95608,0.33197,0.0012,0.00107675,0.00107675,0.00107675
16,366.917,1.09301,0.34893,0.00084,0.88034,0.78827,0.82871,0.57684,0.92378,0.35127,0.00115,0.00106437,0.00106437,0.00106437
17,389.5,1.08345,0.34194,0.00085,0.93599,0.80583,0.84249,0.55941,0.9742,0.34289,0.00121,0.001052,0.001052,0.001052
18,412.228,1.08034,0.34432,0.00084,0.91465,0.78827,0.83869,0.56223,0.94911,0.34279,0.00123,0.00103962,0.00103962,0.00103962
19,435.037,1.09333,0.3368,0.00085,0.86816,0.81481,0.84779,0.58689,0.89489,0.3329,0.00109,0.00102725,0.00102725,0.00102725
20,457.936,1.06319,0.33194,0.00082,0.897,0.82075,0.83425,0.5823,0.91582,0.32181,0.00115,0.00101488,0.00101488,0.00101488
21,480.909,1.06758,0.33625,0.00082,0.89175,0.78768,0.83374,0.57839,0.91752,0.32242,0.00115,0.0010025,0.0010025,0.0010025
22,503.766,1.08642,0.34833,0.00083,0.92164,0.79097,0.84944,0.56369,0.94376,0.35443,0.00118,0.000990125,0.000990125,0.000990125
